기상상태,노면상태,사고유형,사고유형 - 세부분류,법규위반,가해운전자 차종,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 연령,피해운전자 상해정도,ECLO,시간,도로형태1,도로형태2
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,61세,경상,승용,76세,경상,18,5,교차로,교차로안
맑음,건조,차대차,기타,신호위반,승용,66세,상해없음,승용,42세,경상,9,10,단일로,터널
맑음,건조,차대사람,횡단중,신호위반,승용,74세,상해없음,보행자,57세,경상,3,19,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,신호위반,승용,33세,상해없음,승용,69세,중상,5,22,교차로,교차로안
맑음,건조,차대차,정면충돌,중앙선침범,승용,33세,중상,승용,55세,중상,15,2,단일로,기타
맑음,건조,차대차,추돌,안전거리미확보,이륜,19세,경상,승용,41세,상해없음,3,10,단일로,기타
맑음,건조,차대차,측면충돌,중앙선침범,승용,41세,상해없음,승용,44세,경상,3,10,단일로,기타
맑음,건조,차대차,기타,교차로운행방법위반,승용,35세,상해없음,개인형이동수단(PM),59세,중상,5,13,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,62세,상해없음,화물,70세,경상,6,14,단일로,기타
맑음,건조,차대사람,횡단중,보행자보호의무위반,화물,33세,상해없음,보행자,76세,중상,5,14,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,52세,상해없음,승용,59세,경상,3,14,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,54세,상해없음,승용,42세,경상,3,15,단일로,기타
맑음,건조,차대차,측면충돌,안전거리미확보,기타불명,미분류,기타불명,승용,32세,부상신고,1,15,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,66세,상해없음,승용,61세,경상,6,17,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,60세,상해없음,이륜,52세,경상,3,18,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승용,46세,경상,화물,56세,경상,6,18,단일로,기타
맑음,건조,차대차,추돌,안전거리미확보,화물,67세,경상,승용,23세,경상,6,18,단일로,기타
맑음,건조,차대차,추돌,안전거리미확보,승용,40세,부상신고,승용,42세,경상,4,19,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,승용,56세,경상,승용,35세,경상,12,19,단일로,기타
맑음,건조,차대차,측면충돌,신호위반,승용,30세,상해없음,승용,52세,중상,5,22,교차로,교차로안
맑음,건조,차대차,측면충돌,직진우회전진행방해,승용,65세,상해없음,이륜,27세,경상,3,2,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,68세,상해없음,승용,35세,경상,4,3,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,47세,부상신고,승용,65세,중상,6,5,교차로,교차로안
맑음,건조,차대사람,횡단중,신호위반,이륜,47세,상해없음,보행자,12세,경상,3,10,교차로,교차로횡단보도내
맑음,건조,차대차,측면충돌,교차로운행방법위반,화물,46세,상해없음,승용,59세,경상,3,12,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,60세,경상,승용,32세,경상,6,12,단일로,기타
맑음,건조,차대사람,횡단중,보행자보호의무위반,승용,31세,상해없음,보행자,42세,중상,5,14,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,44세,상해없음,승용,58세,경상,3,14,교차로,교차로부근
맑음,건조,차대차,추돌,안전거리미확보,승용,37세,상해없음,승용,39세,경상,3,17,단일로,기타
맑음,건조,차대사람,기타,보행자보호의무위반,이륜,22세,상해없음,보행자,23세,경상,8,18,단일로,기타
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,31세,부상신고,승용,57세,상해없음,1,19,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,66세,상해없음,승용,71세,경상,3,20,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,34세,상해없음,승용,59세,중상,5,21,교차로,교차로안
맑음,건조,차대차,추돌,안전거리미확보,승용,35세,상해없음,화물,69세,경상,6,22,단일로,기타
맑음,건조,차대차,측면충돌,직진우회전진행방해,이륜,20세,경상,승용,63세,경상,6,23,교차로,교차로안
맑음,건조,차대차,측면충돌,신호위반,승용,53세,상해없음,승용,60세,경상,12,1,교차로,교차로안
맑음,건조,차대차,측면충돌,교차로운행방법위반,승합,62세,상해없음,승용,50세,중상,5,5,교차로,교차로부근
맑음,건조,차대사람,횡단중,신호위반,승용,75세,상해없음,보행자,30세,중상,5,5,교차로,교차로횡단보도내
맑음,건조,차대차,기타,안전거리미확보,승용,20세,상해없음,승용,45세,중상,5,6,단일로,기타
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,49세,상해없음,승용,20세,부상신고,1,8,교차로,교차로부근
맑음,건조,차대차,측면충돌,신호위반,화물,51세,상해없음,승용,31세,경상,3,10,교차로,교차로안
맑음,건조,차대차,측면충돌,직진우회전진행방해,자전거,52세,경상,승용,34세,상해없음,3,11,교차로,교차로안
맑음,건조,차대차,측면충돌,안전거리미확보,승용,46세,상해없음,이륜,19세,경상,3,14,교차로,교차로부근
맑음,건조,차대차,측면충돌,교차로운행방법위반,승용,37세,경상,승용,44세,경상,12,14,교차로,교차로안
맑음,건조,차대사람,기타,보행자보호의무위반,승용,62세,상해없음,보행자,67세,경상,3,15,단일로,기타
맑음,건조,차대차,기타,안전거리미확보,이륜,46세,부상신고,이륜,17세,경상,7,16,교차로,교차로부근
